cf_id,contact_id,company_name,description,goal,pledged,outcome,backers_count,country,currency,launch_date,end_date,staff_pick,spotlight,Category,Sub-Category
147,4661,"Baldwin, Riley and Jackson",Pre-emptive tertiary standardization,100.0,100.0,failed,0,CA,CAD,2020-02-13 06:00:00,2021-03-01 06:00:00,False,False,food,food trucks
1621,3765,Odom Inc,Managed bottom-line architecture,1400.0,1400.0,successful,158,US,USD,2021-01-25 06:00:00,2021-05-25 05:00:00,False,True,music,rock
1812,4187,"Melton, Robinson and Fritz",Function-based leadingedge pricing structure,108400.0,108400.0,successful,1425,AU,AUD,2020-12-17 06:00:00,2021-12-30 06:00:00,False,False,technology,web
2156,4941,"Mcdonald, Gonzalez and Ross",Vision-oriented fresh-thinking conglomeration,4200.0,4200.0,failed,24,US,USD,2021-10-21 05:00:00,2022-01-17 06:00:00,False,False,music,rock
1365,2199,Larson-Little,Proactive foreground core,7600.0,7600.0,failed,53,US,USD,2020-12-21 06:00:00,2021-08-23 05:00:00,False,False,theater,plays
2057,5650,Harris Group,Open-source optimizing database,7600.0,7600.0,successful,174,DK,DKK,2020-12-11 06:00:00,2021-08-29 05:00:00,False,False,theater,plays
1894,5889,"Ortiz, Coleman and Mitchell",Operative upward-trending algorithm,5200.0,5200.0,failed,18,GB,GBP,2020-07-31 05:00:00,2021-05-11 05:00:00,False,False,film & video,documentary
2669,4842,Carter-Guzman,Centralized cohesive challenge,4500.0,4500.0,successful,227,DK,DKK,2020-12-22 06:00:00,2021-09-21 05:00:00,False,False,theater,plays
1114,3280,Nunez-Richards,Exclusive attitude-oriented intranet,110100.0,110100.0,live,708,DK,DKK,2020-04-08 05:00:00,2021-03-10 06:00:00,False,False,theater,plays
970,5468,"Rangel, Holt and Jones",Open-source fresh-thinking model,6200.0,6200.0,failed,44,US,USD,2021-08-13 05:00:00,2021-08-31 05:00:00,False,False,music,electric music
2340,3064,Green Ltd,Monitored empowering installation,5200.0,5200.0,successful,220,US,USD,2020-07-11 05:00:00,2021-08-02 05:00:00,False,False,film & video,drama
601,4904,"Perez, Johnson and Gardner",Grass-roots zero administration system engine,6300.0,6300.0,failed,27,US,USD,2020-08-11 05:00:00,2021-06-26 05:00:00,False,True,theater,plays
1950,1299,Kim Ltd,Assimilated hybrid intranet,6300.0,6300.0,failed,55,US,USD,2020-11-14 06:00:00,2021-04-09 05:00:00,False,False,film & video,drama
671,5602,"Walker, Taylor and Coleman",Multi-tiered directional open architecture,4200.0,4200.0,successful,98,US,USD,2020-11-11 06:00:00,2021-11-06 05:00:00,False,False,music,indie rock
1683,5753,"Rodriguez, Rose and Stewart",Cloned directional synergy,28200.0,28200.0,failed,200,US,USD,2021-11-14 06:00:00,2022-01-02 06:00:00,False,False,music,indie rock
505,4495,"Wright, Hunt and Rowe",Extended eco-centric pricing structure,81200.0,81200.0,failed,452,US,USD,2021-10-25 05:00:00,2021-12-16 06:00:00,False,False,technology,wearables
1245,4269,Hines Inc,Cross-platform systemic adapter,1700.0,1700.0,successful,100,US,USD,2021-08-20 05:00:00,2021-12-22 06:00:00,False,False,publishing,nonfiction
2550,2226,Cochran-Nguyen,Seamless 4thgeneration methodology,84600.0,84600.0,successful,1249,US,USD,2020-04-12 05:00:00,2021-03-24 05:00:00,False,False,film & video,animation
875,1558,Johnson-Gould,Exclusive needs-based adapter,9100.0,9100.0,canceled,135,US,USD,2021-03-24 05:00:00,2022-01-27 06:00:00,False,False,theater,plays
2283,2307,Perez-Hess,Down-sized cohesive archive,62500.0,62500.0,failed,674,US,USD,2021-10-12 05:00:00,2021-11-17 06:00:00,False,True,theater,plays
118,2900,"Reeves, Thompson and Richardson",Proactive composite alliance,131800.0,131800.0,successful,1396,US,USD,2020-04-12 05:00:00,2021-04-09 05:00:00,False,False,film & video,drama
711,5695,Simmons-Reynolds,Re-engineered intangible definition,94000.0,94000.0,failed,558,US,USD,2021-03-14 06:00:00,2021-04-29 05:00:00,False,False,theater,plays
1747,5708,Collier Inc,Enhanced dynamic definition,59100.0,59100.0,successful,890,US,USD,2020-07-06 05:00:00,2021-08-04 05:00:00,False,False,theater,plays
1825,1663,Gray-Jenkins,Devolved next generation adapter,4500.0,4500.0,successful,142,GB,GBP,2021-07-23 05:00:00,2021-09-12 05:00:00,False,False,film & video,documentary
1019,3605,"Scott, Wilson and Martin",Cross-platform intermediate frame,92400.0,92400.0,successful,2673,US,USD,2021-05-01 05:00:00,2021-10-01 05:00:00,False,False,technology,wearables
821,4678,"Caldwell, Velazquez and Wilson",Monitored impactful analyzer,5500.0,5500.0,successful,163,US,USD,2020-10-09 05:00:00,2021-05-23 05:00:00,False,True,games,video games
2653,2251,Spencer-Bates,Optional responsive customer loyalty,107500.0,107500.0,canceled,1480,US,USD,2020-11-20 06:00:00,2021-07-27 05:00:00,False,False,theater,plays
2502,6202,"Best, Carr and Williams",Diverse transitional migration,2000.0,2000.0,failed,15,US,USD,2021-01-08 06:00:00,2021-10-15 05:00:00,False,False,music,rock
325,3715,"Campbell, Brown and Powell",Synchronized global task-force,130800.0,130800.0,successful,2220,US,USD,2020-12-23 06:00:00,2021-12-23 06:00:00,False,True,theater,plays
1345,4242,"Johnson, Parker and Haynes",Focused 6thgeneration forecast,45900.0,45900.0,successful,1606,CH,CHF,2020-11-06 06:00:00,2021-08-27 05:00:00,False,False,film & video,shorts
2303,4326,Clark-Cooke,Down-sized analyzing challenge,9000.0,9000.0,successful,129,US,USD,2020-10-28 05:00:00,2021-02-15 06:00:00,False,False,film & video,animation
2224,5560,Schroeder Ltd,Progressive needs-based focus group,3500.0,3500.0,successful,226,GB,GBP,2020-11-25 06:00:00,2021-02-05 06:00:00,False,False,games,video games
1173,4002,Jackson PLC,Ergonomic 6thgeneration success,101000.0,101000.0,failed,2307,IT,EUR,2021-02-21 06:00:00,2021-11-26 06:00:00,False,False,film & video,documentary
210,3813,"Blair, Collins and Carter",Exclusive interactive approach,50200.0,50200.0,successful,5419,US,USD,2021-04-04 05:00:00,2021-12-09 06:00:00,False,False,theater,plays
1546,5336,Maldonado and Sons,Reverse-engineered asynchronous archive,9300.0,9300.0,successful,165,US,USD,2021-01-26 06:00:00,2021-12-10 06:00:00,False,False,film & video,documentary
2871,4994,Mitchell and Sons,Synergized intangible challenge,125500.0,125500.0,successful,1965,DK,DKK,2021-03-16 05:00:00,2021-03-25 05:00:00,False,True,film & video,drama
2034,1471,Jackson-Lewis,Monitored multi-state encryption,700.0,700.0,successful,16,US,USD,2021-04-07 05:00:00,2021-11-26 06:00:00,False,False,theater,plays
2677,4482,"Black, Armstrong and Anderson",Profound attitude-oriented functionalities,8100.0,8100.0,successful,107,US,USD,2020-11-20 06:00:00,2021-10-18 05:00:00,False,True,publishing,fiction
1865,3241,Maldonado-Gonzalez,Digitized client-driven database,3100.0,3100.0,successful,134,US,USD,2021-08-23 05:00:00,2022-01-10 06:00:00,False,False,photography,photography books
170,3477,Kim-Rice,Organized bi-directional function,9900.0,9900.0,failed,88,DK,DKK,2021-04-14 05:00:00,2021-05-01 05:00:00,False,False,theater,plays
462,2265,"Garcia, Garcia and Lopez",Reduced stable middleware,8800.0,8800.0,successful,198,US,USD,2020-11-18 06:00:00,2021-03-18 05:00:00,False,True,technology,wearables
3122,5911,Watts Group,Universal 5thgeneration neural-net,5600.0,5600.0,successful,111,IT,EUR,2021-03-17 05:00:00,2021-07-08 05:00:00,False,True,music,rock
1175,2288,Werner-Bryant,Virtual uniform frame,1800.0,1800.0,successful,222,US,USD,2020-06-20 05:00:00,2021-01-30 06:00:00,False,False,food,food trucks
2301,4064,Schmitt-Mendoza,Profound explicit paradigm,90200.0,90200.0,successful,6212,US,USD,2020-11-14 06:00:00,2021-07-06 05:00:00,False,False,publishing,radio & podcasts
91,1294,Reid-Mccullough,Visionary real-time groupware,1600.0,1600.0,successful,98,DK,DKK,2020-11-25 06:00:00,2021-03-01 06:00:00,False,False,publishing,fiction
87,5008,Woods-Clark,Networked tertiary Graphical User Interface,9500.0,9500.0,failed,48,US,USD,2021-01-18 06:00:00,2021-03-20 05:00:00,False,True,theater,plays
1482,3604,"Vaughn, Hunt and Caldwell",Virtual grid-enabled task-force,3700.0,3700.0,successful,92,US,USD,2021-05-23 05:00:00,2021-09-23 05:00:00,False,False,music,rock
1711,3263,Bennett and Sons,Function-based multi-state software,1500.0,1500.0,successful,149,US,USD,2020-12-18 06:00:00,2021-06-27 05:00:00,False,False,theater,plays
2294,5631,Lamb Inc,Optimized leadingedge concept,33300.0,33300.0,successful,2431,US,USD,2021-02-22 06:00:00,2021-11-10 06:00:00,False,False,theater,plays
2389,2851,Casey-Kelly,Sharable holistic interface,7200.0,7200.0,successful,303,US,USD,2021-01-25 06:00:00,2022-01-30 06:00:00,False,False,music,rock
378,3714,"Jones, Taylor and Moore",Down-sized system-worthy secured line,100.0,100.0,failed,1,IT,EUR,2021-10-08 05:00:00,2021-11-03 05:00:00,False,False,music,metal
1213,1664,"Bradshaw, Gill and Donovan",Inverse secondary infrastructure,158100.0,158100.0,failed,1467,GB,GBP,2020-09-07 05:00:00,2021-07-29 05:00:00,False,True,technology,wearables
29,5027,"Hernandez, Rodriguez and Clark",Organic foreground leverage,7200.0,7200.0,failed,75,US,USD,2021-03-12 06:00:00,2022-01-05 06:00:00,False,False,theater,plays
2309,3070,Smith-Jones,Reverse-engineered static concept,8800.0,8800.0,successful,209,US,USD,2021-10-14 05:00:00,2021-12-24 06:00:00,False,False,film & video,drama
2101,4248,Roy PLC,Multi-channeled neutral customer loyalty,6000.0,6000.0,failed,120,US,USD,2021-03-30 05:00:00,2021-05-24 05:00:00,False,False,technology,wearables
1057,2034,"Wright, Brooks and Villarreal",Reverse-engineered bifurcated strategy,6600.0,6600.0,successful,131,US,USD,2021-09-29 05:00:00,2021-11-29 06:00:00,False,False,music,jazz
2655,4085,"Flores, Miller and Johnson",Horizontal context-sensitive knowledge user,8000.0,8000.0,successful,164,US,USD,2021-03-03 06:00:00,2021-05-22 05:00:00,False,False,technology,wearables
202,3569,"Bridges, Freeman and Kim",Cross-group multi-state task-force,2900.0,2900.0,successful,201,US,USD,2021-07-23 05:00:00,2021-12-04 06:00:00,False,False,games,video games
2025,3889,Anderson-Perez,Expanded 3rdgeneration strategy,2700.0,2700.0,successful,211,US,USD,2021-02-09 06:00:00,2021-06-11 05:00:00,False,False,theater,plays
2395,3136,"Wright, Fox and Marks",Assimilated real-time support,1400.0,1400.0,successful,128,US,USD,2020-12-10 06:00:00,2021-03-07 06:00:00,False,True,theater,plays
